time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.93713179899e-08,-8.74812809494e-08,10.0068870571,6.28288864859,6.2827677876,0.0,1.60073881332e-05,-1.78569448701e-05,0.229549895809,-0.0173387134694,-0.0269115457333,0.0,477.32248537512424,475.26474953362066,476.8392585117093,475.51319411107204
0.12000000000000001,1.61618404679e-05,-1.21520769083e-05,10.0253546841,6.28151627219,6.28170660078,0.0,0.000667394118525,-0.000513778022429,0.385996940076,-0.0372404686248,-0.00371964819225,0.0,452.8563295899981,454.7177023192106,456.07154869540574,454.4793855123913
0.18,9.07463176475e-05,-9.07290888534e-05,10.0539681644,6.27959849998,6.28192777656,0.0,0.00181527178187,-0.00234029972356,0.567712026354,-0.0230804099119,0.0154398275636,0.0,462.32759028944463,463.8344314214257,460.9285997633677,462.045750265309
0.23999999999999996,0.00022382329271,-0.000325765602879,10.0949877858,6.27819250689,0.000991888130372,0.0,0.00240477204779,-0.00566328970133,0.799474721952,-0.0241482580097,0.0628525218413,0.0,475.79061356907465,479.4067097286068,476.93336234301677,476.8517943743145
0.3,0.000328257248653,-0.000789754050611,10.1489222244,6.27630780212,0.00465996138263,0.0,0.000642559486526,-0.00998860219492,0.998185385075,-0.0527537998035,0.0574576988492,0.0,467.61825165306806,467.20033289816365,469.39615460954536,467.17083260807476
0.36000000000000004,0.000243483483584,-0.00156256687752,10.2144513395,6.27262471195,0.00790185208574,0.0,-0.00385326830172,-0.0161505534447,1.18593717922,-0.0905209638892,0.04610870692,0.0,465.3471580001705,464.45980919809114,466.43560134115705,463.47404352911406
0.4200000000000001,-0.00019564414671,-0.00281686547374,10.2926136589,6.26720123193,0.0109725054604,0.0,-0.0111392868195,-0.0263169604155,1.41920199698,-0.0901335078703,0.0597592266089,0.0,478.3483431291335,479.38804342658705,478.5832533335698,478.60653482335204
0.48000000000000015,-0.0011610411669,-0.00482933626569,10.3856206538,6.26168762238,0.014117884274,0.0,-0.021469140134,-0.0414465111161,1.68066650502,-0.0956658594747,0.0307391938241,0.0,488.5661747696821,486.3992869251848,487.5795583824471,487.1597925542287
0.5400000000000001,-0.0027937346209,-0.00785286499422,10.4926178289,6.25639971891,0.0160476390517,0.0,-0.0331713764533,-0.0599748244783,1.88557185355,-0.0762227881603,0.0348668497178,0.0,471.41229014803565,471.7314236975076,471.2541900189189,472.7484378628978
0.6000000000000002,-0.00517836997582,-0.0121133449394,10.6120718174,6.25233609529,0.017702993899,0.0,-0.046540385875,-0.0825373622035,2.09584705074,-0.0546288778534,0.00617752457103,0.0,475.10609395700493,472.90162394560775,473.29669035803886,474.9523105322202
0.6600000000000003,-0.0083622871997,-0.0177579219903,10.7421846028,6.24950425095,0.0177716585884,0.0,-0.0596120796105,-0.105935235592,2.24095994741,-0.0354151555203,-0.0115379258004,0.0,455.9619896384796,454.5445681032702,454.635494420495,456.1708929576992
0.7200000000000003,-0.0123960870128,-0.0249953056214,10.884836158,6.24737750943,0.0175032258159,0.0,-0.0747804127132,-0.135563060567,2.51352311037,-0.0355068221374,0.00684021178062,0.0,493.0803338864737,494.43617699778844,492.9504761023932,492.9432893391565
0.7800000000000004,-0.0171734485955,-0.0337268366837,11.0344894752,6.24513868964,0.0181748459699,0.0,-0.0845116257283,-0.15566907861,2.47499561767,-0.0411961415551,0.0187236933087,0.0,397.3010735591134,398.3890256743921,396.8068243012527,396.2833562721856
0.8400000000000004,-0.0226900343281,-0.0440004990551,11.1895621997,6.24276227694,0.0193090588348,0.0,-0.0995006478931,-0.187057202577,2.69358898744,-0.0366048039439,0.0192608271522,0.0,477.6853490884726,477.7262287348522,479.89948344476704,480.2471801608361
0.9000000000000005,-0.0290473657135,-0.0560334085104,11.3533377931,6.24002866919,0.0202330707255,0.0,-0.112510327135,-0.214260813362,2.76541102831,-0.0771822241038,0.00627377239858,0.0,435.06132214808724,433.9725015733561,437.4945553299265,434.101080617439
0.9600000000000005,-0.0362640691012,-0.0698985448355,11.5245220613,6.23491450743,0.0201546352263,0.0,-0.128063443031,-0.248431726213,2.94026761548,-0.110677818011,-0.0242182553783,0.0,469.1929743561166,466.8197185811551,468.1536795155384,465.5339558372981
1.0200000000000005,-0.0442994259263,-0.085679040048,11.7009231799,6.22797802524,0.0187341922056,0.0,-0.139656848054,-0.278174331258,2.93973755942,-0.127941022896,-0.022607396058,0.0,412.9820075912194,413.12396283344566,413.3157763160245,411.7781381443219
1.0800000000000005,-0.0530084376634,-0.103378305889,11.8774335123,6.22011351005,0.0174106273086,0.0,-0.150525886674,-0.312482336381,2.94388444361,-0.138216104217,-0.0209854911602,0.0,414.65872662456917,414.8011292146186,414.66012513707585,413.7392301641252
1.1400000000000006,-0.0624671877738,-0.123732003745,12.0612051933,6.21194717487,0.0159673343982,0.0,-0.164590815885,-0.366939289616,3.18113265342,-0.132191497438,-0.0310343739953,0.0,486.158557799565,485.4050053316857,487.77521910107964,488.209591020834
1.2000000000000006,-0.0726738922035,-0.147286201415,12.2555169808,6.20386909178,0.0142472693345,0.0,-0.175441529879,-0.419010006567,3.29553100167,-0.140026994555,-0.0243118377609,0.0,452.039358140939,452.58054549174204,451.45910321585376,450.8099372019204
1.2600000000000007,-0.0835448137449,-0.174413586818,12.4600988995,6.19492506543,0.0128179218547,0.0,-0.186738473141,-0.486211889002,3.52309026501,-0.181325057215,-0.0228613410271,0.0,485.60338745166985,485.7121712176852,488.550492643764,485.44119948007585
